p_upstream,p_downstream,n_cases,n_valid,n_fail,median_far_nrmse,n_far_pass,n_interval_pass,n_joint_pass,joint_pass_fraction,failure_chids,selected_by_full_data_nrmse,screen_status
0.500000,0.500000,12,11,1,0.120209177,6,4,2,0.166666667,pilot_12_q100_r160_d80,false,FAIL_SCREEN
0.500000,0.750000,12,11,1,0.126533730,6,4,2,0.166666667,pilot_12_q100_r160_d80,false,FAIL_SCREEN
0.500000,1.000000,12,11,1,0.131658095,6,5,2,0.166666667,pilot_12_q100_r160_d80,false,FAIL_SCREEN
0.500000,1.250000,12,11,1,0.136347457,6,4,1,0.083333333,pilot_12_q100_r160_d80,false,FAIL_SCREEN
0.500000,1.500000,12,11,1,0.140645662,5,3,0,0.000000000,pilot_12_q100_r160_d80,false,FAIL_SCREEN
0.750000,0.500000,12,11,1,0.090972195,8,7,5,0.416666667,pilot_12_q100_r160_d80,false,FAIL_SCREEN
0.750000,0.750000,12,11,1,0.104834372,8,4,2,0.166666667,pilot_12_q100_r160_d80,false,FAIL_SCREEN
0.750000,1.000000,12,11,1,0.110591661,8,4,2,0.166666667,pilot_12_q100_r160_d80,false,FAIL_SCREEN
0.750000,1.250000,12,11,1,0.114492489,8,4,3,0.250000000,pilot_12_q100_r160_d80,false,FAIL_SCREEN
0.750000,1.500000,12,11,1,0.117794821,8,3,2,0.166666667,pilot_12_q100_r160_d80,false,FAIL_SCREEN
1.000000,0.500000,12,11,1,0.067259971,8,7,5,0.416666667,pilot_12_q100_r160_d80,false,FAIL_SCREEN
1.000000,0.750000,12,11,1,0.076547588,8,6,4,0.333333333,pilot_12_q100_r160_d80,false,FAIL_SCREEN
1.000000,1.000000,12,11,1,0.079893903,8,6,4,0.333333333,pilot_12_q100_r160_d80,false,FAIL_SCREEN
1.000000,1.250000,12,11,1,0.084344507,8,4,3,0.250000000,pilot_12_q100_r160_d80,false,FAIL_SCREEN
1.000000,1.500000,12,11,1,0.090181549,8,3,2,0.166666667,pilot_12_q100_r160_d80,false,FAIL_SCREEN
1.250000,0.500000,12,11,1,0.051212164,8,8,6,0.500000000,pilot_12_q100_r160_d80,true,FAIL_SCREEN
1.250000,0.750000,12,11,1,0.052889500,8,7,5,0.416666667,pilot_12_q100_r160_d80,false,FAIL_SCREEN
1.250000,1.000000,12,11,1,0.056664133,8,8,6,0.500000000,pilot_12_q100_r160_d80,false,FAIL_SCREEN
1.250000,1.250000,12,11,1,0.059377622,8,5,4,0.333333333,pilot_12_q100_r160_d80,false,FAIL_SCREEN
1.250000,1.500000,12,11,1,0.062427685,7,4,3,0.250000000,pilot_12_q100_r160_d80,false,FAIL_SCREEN
1.500000,0.500000,12,11,1,0.051763856,8,7,5,0.416666667,pilot_12_q100_r160_d80,false,FAIL_SCREEN
1.500000,0.750000,12,11,1,0.060614655,7,4,2,0.166666667,pilot_12_q100_r160_d80,false,FAIL_SCREEN
1.500000,1.000000,12,11,1,0.061728199,7,6,4,0.333333333,pilot_12_q100_r160_d80,false,FAIL_SCREEN
1.500000,1.250000,12,11,1,0.068960251,7,4,3,0.250000000,pilot_12_q100_r160_d80,false,FAIL_SCREEN
1.500000,1.500000,12,11,1,0.071489770,7,4,3,0.250000000,pilot_12_q100_r160_d80,false,FAIL_SCREEN
