held_out_chid,selected_p_upstream,selected_p_downstream,held_out_valid,held_out_far_nrmse,held_out_log_r2,held_out_max_k_rel_change,far_pass,interval_pass,joint_pass,selection_method
gsA_m,1.250000,0.500000,true,0.030630967,0.932739548,0.197174838,true,true,true,minimum training-case median far NRMSE
gsB_m,1.250000,0.500000,true,0.042107946,0.809068115,0.137809743,false,true,false,minimum training-case median far NRMSE
gsC_m,1.250000,0.500000,true,0.044712239,0.990127709,0.160819337,true,true,true,minimum training-case median far NRMSE
pilot_01_q05_u000_d20,1.250000,0.500000,true,0.057303173,0.852905167,0.330200395,true,false,false,minimum training-case median far NRMSE
pilot_03_q20_r090_d35,1.250000,0.500000,true,0.099671302,0.799388981,0.068289209,false,true,false,minimum training-case median far NRMSE
pilot_04_q20_r090_d45,1.250000,0.500000,true,0.098693913,0.832211997,0.208249323,false,false,false,minimum training-case median far NRMSE
pilot_06_q40_r100_d45,1.250000,0.500000,true,0.069219006,0.989848704,0.125335940,true,true,true,minimum training-case median far NRMSE
pilot_07_q40_r100_d60,1.250000,0.500000,true,0.068682262,0.985219686,0.294950602,true,false,false,minimum training-case median far NRMSE
pilot_08_q60_r110_d55,1.250000,0.750000,true,0.057014770,0.993319839,0.176809788,true,true,true,minimum training-case median far NRMSE
pilot_09_q60_r110_d70,1.250000,0.500000,true,0.041053239,0.986792069,0.178246379,true,true,true,minimum training-case median far NRMSE
pilot_11_q100_r160_d70,1.250000,0.500000,true,0.019950258,0.989343445,0.000000000,true,true,true,minimum training-case median far NRMSE
pilot_12_q100_r160_d80,1.250000,0.500000,false,,,,false,false,false,minimum training-case median far NRMSE
