n_sensors,layout_type,average_det,worst_det,average_logdet,worst_logdet,worst_cond,average_trace_inverse,n_scenarios,n_singular_scenarios,evidence_label,decision_status
4,uniform_default,19580.66992,2.544963103,7.217754398,0.9341161521,1627.552952,6.366654734,4,0,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_LAYOUT_RECOMMENDATION
4,bilateral_near_source,53119.77977,0,-inf,-inf,inf,inf,4,3,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_LAYOUT_RECOMMENDATION
4,upstream_one_sided_adverse,1.734723476e-18,0,-inf,-inf,inf,inf,4,3,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_LAYOUT_RECOMMENDATION
4,downstream_bias,39982.21875,97.43321605,9.047435153,4.57916718,263.3387218,0.1449553639,4,0,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_LAYOUT_RECOMMENDATION
4,optimized_average_multiscenario,5681981.485,233.6080384,11.22827934,5.453644661,37.96307311,0.1135493023,4,0,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_LAYOUT_RECOMMENDATION
4,optimized_worst_multiscenario,956218.2137,1591.427063,10.13463518,7.372386416,2227.374108,0.1762118373,4,0,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_LAYOUT_RECOMMENDATION
8,uniform_default,1271016.499,1306.029116,11.67794367,7.174746604,7.999409141,0.0258597073,4,0,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_LAYOUT_RECOMMENDATION
8,bilateral_near_source,2656234.22,0,-inf,-inf,inf,inf,4,2,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_LAYOUT_RECOMMENDATION
8,upstream_one_sided_adverse,2690.76191,0,-inf,-inf,inf,inf,4,2,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_LAYOUT_RECOMMENDATION
8,downstream_bias,690638.416,0.2257533589,7.374163525,-1.488312208,11725.55563,10.44359296,4,0,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_LAYOUT_RECOMMENDATION
8,optimized_average_multiscenario,8514388.221,10774.84331,13.99109089,9.284969372,3.856715675,0.006966910571,4,0,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_LAYOUT_RECOMMENDATION
8,optimized_worst_multiscenario,2749182.746,10804.47245,12.17254993,9.287715443,87.97481725,0.01452044331,4,0,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_LAYOUT_RECOMMENDATION
12,uniform_default,2850466.38,3382.889404,12.78822856,8.126485476,4.579584928,0.01267325736,4,0,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_LAYOUT_RECOMMENDATION
12,bilateral_near_source,8493613.022,10760.94198,13.67534622,9.283678374,3.863243525,0.007487410571,4,0,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_LAYOUT_RECOMMENDATION
12,upstream_one_sided_adverse,2694541.688,7.105427358e-15,-7.665751838,-32.57791749,1.706756585e+16,5.366183803e+14,4,0,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_LAYOUT_RECOMMENDATION
12,downstream_bias,1613460.705,222.9866392,11.66014068,5.407111856,7.04657105,0.05301491723,4,0,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_LAYOUT_RECOMMENDATION
12,optimized_average_multiscenario,8653254.162,10798.98434,13.99947253,9.287207366,3.855799059,0.006955778107,4,0,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_LAYOUT_RECOMMENDATION
12,optimized_worst_multiscenario,2789797.116,10829.44425,12.44528353,9.290024023,87.33223928,0.01313125746,4,0,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_LAYOUT_RECOMMENDATION
16,uniform_default,3167260.1,10796.07006,13.17455676,9.286937463,3.84273218,0.007620988309,4,0,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_LAYOUT_RECOMMENDATION
16,bilateral_near_source,8544820.222,10819.34016,13.67976212,9.289090567,3.852104393,0.007464946397,4,0,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_LAYOUT_RECOMMENDATION
16,upstream_one_sided_adverse,2890073.356,0,-inf,-inf,inf,inf,4,1,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_LAYOUT_RECOMMENDATION
16,downstream_bias,6421223.446,468.6209597,12.7564129,6.149794253,9.664121993,0.04088940754,4,0,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_LAYOUT_RECOMMENDATION
16,optimized_average_multiscenario,8686252.921,10820.42551,14.00247047,9.289190878,3.85177863,0.006946382739,4,0,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_LAYOUT_RECOMMENDATION
16,optimized_worst_multiscenario,3292057.275,10832.02059,13.33563773,9.290261896,10.54539967,0.007517433355,4,0,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_LAYOUT_RECOMMENDATION
