Q_MW,x_f_m,objective,evidence_label
20.0,40.0,173.3811582548878,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
20.0,40.5,164.26425051404993,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
20.0,41.0,157.90519235879972,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
20.0,41.5,154.21329007783936,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
20.0,42.0,153.18665889114,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
20.0,42.5,154.91001918757462,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
20.0,43.0,159.55500519888156,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
20.0,43.5,167.38290509552314,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
20.0,44.0,178.7498212408341,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
20.0,44.5,153.1664339956429,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
20.0,45.0,131.39616336317005,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
20.0,45.5,113.39941407409952,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
20.0,46.0,98.43268970426031,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
20.0,46.5,85.8937877999232,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
20.0,47.0,75.29887433541406,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
20.0,47.5,66.26388997449857,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
20.0,48.0,58.489603548338295,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
20.0,48.5,51.749755724178364,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
20.0,49.0,45.88184318366394,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
20.0,49.5,40.7801844795406,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
20.0,50.0,36.390986221552524,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
20.0,50.5,32.70919499741947,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
20.0,51.0,29.776978708292088,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
20.0,51.5,27.68373271674772,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
20.0,52.0,26.567553042080593,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
20.0,52.5,26.61816226694174,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
20.0,53.0,28.081315165524767,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
20.0,53.5,31.264751542316095,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
20.0,54.0,36.545804526805206,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
20.0,54.5,36.33515152158922,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
20.0,55.0,40.01358649582932,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
20.0,55.5,47.03760718152777,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
20.0,56.0,56.8520009521451,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
20.0,56.5,69.05172232943073,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
20.0,57.0,83.36029566483904,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
20.0,57.5,99.6129772785879,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
20.0,58.0,117.74399578134376,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
20.0,58.5,137.77733021588196,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
20.0,59.0,159.82060607370667,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
20.0,59.5,184.0617932679085,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
20.0,60.0,210.7684812735734,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
21.0,40.0,176.39304729066208,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
21.0,40.5,166.88695070840905,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
21.0,41.0,160.45254378014215,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
21.0,41.5,156.99318464460282,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
21.0,42.0,156.51031464872253,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
21.0,42.5,159.1010495092071,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
21.0,43.0,164.95854134701352,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
21.0,43.5,174.37502240760176,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
21.0,44.0,187.7475181847191,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
21.0,44.5,159.23898520037523,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
21.0,45.0,134.9887025951836,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
21.0,45.5,114.97524282910116,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
21.0,46.0,98.37621995356132,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
21.0,46.5,84.52558421422543,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
21.0,47.0,72.88832110347984,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
21.0,47.5,63.039930394616405,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
21.0,48.0,54.64993017186979,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
21.0,48.5,47.46877153841593,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
21.0,49.0,41.31766806157098,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
21.0,49.5,36.08094420423021,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
21.0,50.0,31.700592441885767,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
21.0,50.5,28.172802387059377,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
21.0,51.0,25.546289513480467,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
21.0,51.5,23.922308115194998,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
21.0,52.0,23.45628479553851,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
21.0,52.5,24.361056683441277,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
21.0,53.0,26.911744179975315,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
21.0,53.5,31.452332687026168,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
21.0,54.0,38.40408272484605,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
21.0,54.5,36.55360460520601,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
21.0,55.0,39.07865160614349,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
21.0,55.5,45.42707887420068,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
21.0,56.0,54.97453737226245,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
21.0,56.5,67.2633192283562,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE
