replicate,Q_hat_MW,x_f_hat_m,nll,evidence_label,decision_status
0,36.05836766709863,50.06152343749999,3.1499123907216244,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
1,34.17534302877311,49.904296875,3.752433564482255,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
2,31.395492944882463,50.1640625,2.873710087957054,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
3,36.98429838251977,49.69921875,1.668668141554216,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
4,34.35913330830132,50.02734375,4.052650071182194,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
5,34.10875422373844,49.890625,2.6707069095922953,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
6,33.3522450629333,49.86328125,2.883975219165144,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
7,33.58069341865442,50.177734374999986,1.9780700086646126,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
8,37.95250638597747,49.99658203125001,4.112995813287076,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
9,34.476605044906506,49.86328125,1.6277634857583003,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
10,35.20708020605045,49.890625,1.5654152051299948,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
11,34.04229516338403,50.0068359375,2.1154316288094046,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
12,34.07550849128776,49.794921875,6.59549678700439,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
13,33.54796238598224,49.86328125,1.0063334509270006,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
14,35.70844505431604,50.068359375,5.86532796759206,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
15,35.98810989053638,49.93164062500001,2.0439018658276753,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
16,31.703151060607187,49.91796875,1.8315002041763329,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
17,35.5520897262188,49.9658203125,3.0240261105856874,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
18,32.5648453591528,49.8974609375,5.765666848127036,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
19,35.08711952989871,49.80859375000001,4.948719606083365,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
20,35.4136820548104,49.9931640625,2.5174823166158857,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
21,34.04229516338405,50.095703125,1.5519359063591176,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
22,34.678920326365755,50.1640625,2.2827347383390975,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
23,36.66112374622696,50.06835937499999,4.075716081438704,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
24,33.30349440025682,49.9931640625,2.3154813901175046,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
25,36.7685336278384,50.1162109375,7.33027868453466,SYNTHETIC_SOFTWARE_TEST_NOT_SCIENTIFIC_EVIDENCE,SOFTWARE_ONLY_NO_COVERAGE_OR_REAL_PRECISION_CLAIM
